timestamp,machine_id,modo_operacion,temperatura_ambiente_c,temperatura_entrada_c,temperatura_salida_c,delta_temp_c,presion_entrada_bar,presion_salida_bar,delta_presion_bar,flujo_masico_kgs,vibracion_rms_mms,velocidad_rpm,potencia_kw,consumo_energia_kwh,horas_operacion,humedad_relativa_pct,fallo
2025-07-01 13:37:00,compresor_criogenico_01,Normal,18.61,22.51,116.79,94.28,41.62,178.8,137.17,111.32,3.272,2872,92.43,2.014,8645,66.5,0
2025-07-04 02:27:00,compresor_criogenico_01,Baja carga,14.8,20.71,107.81,87.09,53.95,178.02,124.07,78.37,2.236,2912,62.22,0.069,2288,63.6,0
2025-07-04 00:50:00,compresor_criogenico_01,Normal,16.21,22.5,126.03,103.53,44.44,183.82,139.38,115.72,2.29,3020,129.98,2.266,6184,64.1,0
2025-07-03 20:37:00,compresor_criogenico_01,Normal,10.04,15.88,116.09,100.21,45.49,171.51,126.02,93.3,2.652,3177,83.3,0.372,3409,49.0,1
2025-07-03 11:38:00,compresor_criogenico_01,Normal,19.93,24.93,115.96,91.03,44.58,204.56,159.98,93.48,3.813,2967,87.65,1.352,9421,92.0,1
2025-07-01 19:57:00,compresor_criogenico_01,Alta carga,11.7,14.11,137.37,123.26,48.17,207.59,159.41,128.43,3.576,3082,130.07,1.605,8242,51.6,1
2025-07-02 14:45:00,compresor_criogenico_01,Alta carga,19.84,26.46,135.84,109.38,54.53,196.02,141.49,91.35,3.133,3046,103.7,1.86,6544,56.8,1
2025-07-03 23:03:00,compresor_criogenico_01,Normal,12.77,15.12,104.0,88.88,45.52,218.56,173.04,92.75,2.432,3023,96.32,1.851,3994,51.1,0
2025-07-02 08:29:00,compresor_criogenico_01,Normal,18.58,24.52,114.87,90.34,48.19,215.43,167.24,111.86,2.921,3007,124.41,1.655,4542,92.5,0
2025-07-01 16:48:00,compresor_criogenico_01,Normal,16.2,22.94,129.94,107.01,42.29,185.41,143.12,111.31,3.225,3174,104.85,0.738,9623,34.4,0
2025-07-02 17:29:00,compresor_criogenico_01,Normal,1.91,7.6,126.82,119.21,49.32,179.51,130.19,112.79,1.348,3123,101.53,0.347,757,56.7,0
2025-07-03 23:19:00,compresor_criogenico_01,Normal,19.83,27.71,122.14,94.44,50.65,195.46,144.81,95.8,2.932,2980,85.99,1.794,9328,63.8,1
2025-07-02 09:42:00,compresor_criogenico_01,Alta carga,21.84,27.42,123.42,96.0,55.51,225.88,170.37,116.12,4.108,3116,128.02,1.724,9560,61.9,1
