timestamp,machine_id,machine_type,location,env_zone,shift,ambient_temp_c,humidity,dust_ppm,load_pct,rpm,torque_pct,voltage_v,current_a,thd_pct,suction_bar,discharge_bar,pressure_ripple_bar,flow_rate_m3h,bearing_temp_c,winding_temp_c,lubricant_viscosity_cSt,friction_coeff,vib_rms_mm_s,vib_peak_mm_s,vib_kurtosis,vib_skewness,band_1x_g,band_2x_g,band_bpf_g,crest_factor,ae_rms_db,iso_code,particle_4um,water_ppm,metal_ppm,leak_rate_lpm,hours_since_maint,cycle_count_24h,start_stop_24h,design_load,install_age_days,health_index,failure_within_7d,failure_within_30d,failure_mode
2024-09-06 05:00:00,M000,induction_motor,plant_A,semi_outdoor,evening,30.62,0.711,82.1,0.879,1578.2,0.849,397.6,91.43,4.22,0.33,0.38,0.635,87.8,68.91,72.4,60.66,0.1005,0.2,0.579,2.964,0.141,0.222,0.529,0.02,2.897,23.86,15,949,59,86,0.145,755.4,22,4,0.953,227,0.997,0,0,none
2024-04-24 05:00:00,M001,fan,plant_A,semi_outdoor,night,30.26,0.706,49.1,0.649,937.2,0.744,401.9,69.11,2.83,0.64,0.1,0.806,63.01,43.76,52.58,65.19,0.0787,0.2,0.563,2.573,0.303,0.572,0.217,0.27,2.816,18.63,13,310,30,17,0.045,614.4,12,2,0.694,267,1.0,0,0,none
2024-08-08 16:00:00,M002,reciprocating_compressor,plant_A,indoor,night,21.22,0.676,54.1,0.891,1038.2,0.929,409.7,97.81,2.26,11.01,14.5,0.501,92.92,67.52,64.34,62.29,0.0818,0.2,0.551,3.296,0.373,0.295,0.022,0.08,2.755,24.67,15,182,76,28,0.246,1075.4,25,3,0.754,1806,1.0,0,0,none
2024-06-22 13:00:00,M003,centrifugal_pump,plant_A,indoor,evening,14.58,0.671,26.8,0.873,1523.9,0.805,408.4,81.85,4.29,7.68,8.73,0.517,81.95,49.83,48.66,66.3,0.09,0.2,0.653,2.815,0.817,0.284,0.247,0.21,3.265,20.33,12,807,52,45,0.141,544.7,20,3,0.799,1768,1.0,0,0,none
2024-07-01 10:00:00,M004,fan,plant_A,indoor,day,19.63,0.557,30.3,0.703,1022.5,0.79,398.2,77.84,2.17,0.19,0.7,0.352,69.87,46.05,46.01,65.45,0.0881,0.2,0.624,3.786,0.744,0.187,0.189,0.143,3.119,20.34,12,867,55,52,0.059,1944.8,16,2,0.655,283,1.0,0,0,none
2024-07-06 00:00:00,M005,fan,plant_B,indoor,day,16.39,0.673,28.7,0.705,1023.0,0.658,403.9,67.74,2.89,1.25,0.1,0.4,72.99,43.87,40.3,68.99,0.0743,0.2,0.571,3.535,0.651,0.313,0.02,0.02,2.856,20.37,13,582,35,24,0.216,446.7,13,1,0.75,935,1.0,0,0,none
2024-10-10 14:00:00,M006,fan,plant_A,semi_outdoor,evening,20.92,0.51,97.5,0.743,1086.4,0.688,389.3,73.2,3.39,0.16,1.12,0.31,70.91,46.85,51.87,66.3,0.0905,0.2,0.62,3.113,-0.076,0.246,0.384,0.078,3.099,20.54,18,190,30,26,0.056,2013.8,20,1,0.75,1746,0.995,0,0,none
2024-12-26 00:00:00,M007,fan,plant_A,outdoor,evening,25.54,0.904,95.7,0.563,870.0,0.552,403.2,52.95,1.44,0.24,0.58,0.247,44.45,39.86,44.02,65.52,0.0803,0.2,0.62,3.545,0.436,0.212,0.02,0.02,3.101,23.14,15,191,66,31,0.11,2443.2,16,7,0.539,1293,1.0,0,0,none
2024-11-15 09:00:00,M008,reciprocating_compressor,plant_A,outdoor,evening,27.19,0.15,64.0,0.878,1007.5,0.882,398.4,84.23,3.5,11.3,12.86,0.846,82.55,67.2122431413773,67.42,63.66,0.0826,0.22766843631467132,0.635,2.402,0.437,0.402,0.131,0.023364910392981112,3.176,23.890498207768786,16,399,71,69,0.194,746.1,18,0,0.872,799,0.828251402099714,1,1,seal
2024-02-02 03:00:00,M009,centrifugal_pump,plant_C,outdoor,night,21.93,0.623,62.6,0.835,1476.7,0.791,397.7,71.02,3.78,7.22,9.14,0.808,92.12,48.88,52.86,62.92,0.0885,0.2,0.503,3.869,0.189,0.269,0.208,0.249,2.515,23.51,13,161,51,55,0.155,621.3,22,0,0.822,287,1.0,0,0,none
2024-02-23 02:00:00,M010,centrifugal_pump,plant_C,indoor,day,18.68,0.505,20.2,0.805,1408.1,0.742,394.6,69.52,3.24,7.0,8.02,0.439,88.76,50.88,50.33,65.98,0.0804,0.2,0.518,3.523,0.517,0.286,0.071,0.27,2.588,18.29,12,793,34,73,0.163,831.6,15,4,0.675,2063,1.0,0,0,none
2024-05-19 01:00:00,M011,gearbox,plant_B,semi_outdoor,evening,28.23,0.551,56.1,0.621,912.9,0.657,408.6,66.22,2.33,0.05,0.1,0.609,63.06,52.95,61.01,62.4,0.0911,0.2,0.529,3.411,0.103,0.386,0.392,0.065,2.646,23.29,14,274,41,34,0.161,985.0,15,3,0.729,1886,1.0,0,0,none
2024-05-18 04:00:00,M012,induction_motor,plant_A,indoor,day,23.66,0.754,28.1,0.677,1218.8,0.685,404.0,65.82,2.87,0.0,0.1,0.589,70.46,66.73,67.81,60.83,0.0895,0.2,0.611,2.528,0.442,0.251,0.237,0.02,3.055,19.02,12,201,30,24,0.327,457.0,13,3,0.811,1029,1.0,0,0,none
2024-12-12 08:00:00,M013,fan,plant_B,outdoor,evening,23.93,0.415,45.1,0.743,1106.7,0.809,396.1,82.22,3.12,0.44,0.4,0.311,64.24,45.45,45.09,69.36,0.0785,0.2,0.581,2.946,0.361,0.325,0.02,0.02,2.904,21.22,12,444,68,33,0.296,525.4,19,2,0.719,2057,1.0,0,0,none
